Place Name,Latitude,Longitude,km,
"Alabama, USA",32.31823,-86.902298,145,
"Alaska, USA",66.160507,-153.369141,507,not accurate
"Arizona, USA",34.048927,-111.093735,240,
"Arkansas, the US",34.799999,-92.199997,160,not accurate
"California, the USA",34.6352,-121.848261,505,
"Colorado, USA",39.113014,-105.358887,212,
"Connecticut, the US",41.599998,-72.699997,37,error
"Delaware, the US",39,-75.5,30,
"Florida, USA",27.994402,-81.760254,310,
"Georgia, the USA",33.247875,-83.441162,164,
"Hawaii, USA",19.741755,-155.844437,95,
"Idaho, USA",44.068203,-114.742043,176,
"Illinois, USA",40,-89,148,
"Indiana, USA",40.273502,-86.126976,111,
"Iowa, the USA",42.032974,-93.581543,160,not accurate
"Kansas, the US",38.5,-98,160,
"Kentucky, USA",37.839333,-84.27002,114,
"Louisiana, USA",30.39183,-92.329102,160,
"Maine, the USA",45.367584,-68.972168,113,not accurate
"Maryland, USA",39.045753,-76.641273,55,
"Massachusetts, USA",42.407211,-71.382439,34,
"Michigan, USA",44.182205,-84.506836,196,
"Minnesota, USA",46.39241,-94.63623,155,
"Mississippi, the US",33,-90,123,
"Missouri, USA",38.573936,-92.60376,164,
"Montana, USA",46.96526,-109.533691,210,
"Nebraska, the US",41.5,-100,144,not accurate
"Nevada, USA",39.876019,-117.224121,250,
"New Hampshire, the US",44,-71.5,53,
"New Jersey, USA",39.833851,-74.871826,43,
"New Mexico, USA",34.307144,-106.018066,275,
"New York, USA",43,-75,25,
"North Carolina, USA",35.782169,-80.793457,157,
"North Dakota, USA",47.650589,-100.437012,167,
"Ohio, USA",40.367474,-82.996216,146,
"Oklahoma, the USA",36.084621,-96.921387,188,
"Oregon, the US",44,-120.5,208,
"Pennsylvania, USA",41.203323,-77.194527,115,
"Rhode Island, the US",41.700001,-71.5,20,
"South Carolina, USA",33.836082,-81.163727,117,
"South Dakota, the US",44.5,-100,160,Error
"Tennessee, USA",35.860119,-86.660156,90,
"Texas, the USA",31,-100,332,
"Utah, USA",39.41922,-111.950684,221,
"Vermont, the USA",44,-72.699997,44,
"Virginia, USA",37.926868,-78.024902,108,Error
"Washington, the USA",47.751076,-120.740135,173,
"West Virginia, USA",39,-80.5,83,
"Wisconsin, USA",44.5,-89.5,228,
"Wyoming, USA",43.07597,-107.290283,222,
